 Displacements of field nodes
     1        -0.14420E-12        -0.60000E-04
     2        -0.70988E-05        -0.26667E-04
     3        -0.56790E-05        -0.66667E-05
     4         0.17471E-25         0.23162E-13
     5         0.56790E-05        -0.66667E-05
     6         0.70988E-05        -0.26667E-04
     7         0.14420E-12        -0.60000E-04
     8         0.13062E-03        -0.94703E-04
     9         0.80083E-04        -0.61811E-04
    10         0.37954E-04        -0.42925E-04
    11        -0.24609E-18        -0.36163E-04
    12        -0.37954E-04        -0.42925E-04
    13        -0.80083E-04        -0.61811E-04
    14        -0.13062E-03        -0.94703E-04
    15         0.25631E-03        -0.17293E-03
    16         0.16402E-03        -0.14320E-03
    17         0.80537E-04        -0.12445E-03
    18        -0.55366E-17        -0.11861E-03
    19        -0.80537E-04        -0.12445E-03
    20        -0.16402E-03        -0.14320E-03
    21        -0.25631E-03        -0.17293E-03
    22         0.36834E-03        -0.28818E-03
    23         0.24113E-03        -0.25935E-03
    24         0.11826E-03        -0.24165E-03
    25        -0.64109E-17        -0.23590E-03
    26        -0.11826E-03        -0.24165E-03
    27        -0.24113E-03        -0.25935E-03
    28        -0.36834E-03        -0.28818E-03
    29         0.48891E-03        -0.44293E-03
    30         0.31911E-03        -0.41509E-03
    31         0.15815E-03        -0.39878E-03
    32        -0.43862E-17        -0.39306E-03
    33        -0.15815E-03        -0.39878E-03
    34        -0.31911E-03        -0.41509E-03
    35        -0.48891E-03        -0.44293E-03
    36         0.59714E-03        -0.63650E-03
    37         0.39125E-03        -0.61076E-03
    38         0.19403E-03        -0.59505E-03
    39        -0.12528E-16        -0.59009E-03
    40        -0.19403E-03        -0.59505E-03
    41        -0.39125E-03        -0.61076E-03
    42        -0.59714E-03        -0.63650E-03
    43         0.69890E-03        -0.86604E-03
    44         0.45846E-03        -0.84158E-03
    45         0.22767E-03        -0.82680E-03
    46        -0.15039E-16        -0.82187E-03
    47        -0.22767E-03        -0.82680E-03
    48        -0.45846E-03        -0.84158E-03
    49        -0.69890E-03        -0.86604E-03
